"scientific_name","nombre_comun_es","number_of_trees"
"Palicuria sp","Palicuria","1"
"Cymbopogon citratus","Limocillo","1"
"Ochna thomasiana","Arbol Mickey Mouse","1"
"Monlanoa ovitafolia","Arboloco","1"
"Mimosa quitensis","Guarango","1"
"Miconia lingustrina","Niguito","1"
"Miconia chlorocarpa","Palo amarillo","1"
"Elaeagnus angustifolia","Arbol del paraiso","1"
"Matayba elegans","Zanca de mula","1"
"Tulbaghia violacea","Laurifolia","1"
"Lonicera caprifolium","Madreselva","1"
"Jasminum oliganthum","Jazmin dorado","1"
"Ficus clusiifolia","Higuera roja","1"
"Ficus cyathistipula","Ficus cyathistipula","1"
"Ficus goldmannii","Caucho goldmannii","1"
"Hibiscus mutabilis","Algodon rosa","1"
"Hamelia patens","Coloradillo, Coralillo","1"
"Xylopia aromatica","Escobillo","1"
"Gustavia speciosa","Chupo, Chupa","1"
"Grevillea rosmarinifolia","Grecillea","1"
"Ficus tonduzii","Caucho tonduzii","1"
"Acalypha amentacea","Acalypha","1"
"Arce nigrun","Maple","1"
"Ptychosperma elegans","Palma solitaria","1"
